lnpr,lluvinv,tempmedia,lluvecos,edad
-0.998679996,600,17.11669922,160,38
-0.454400003,690,16.73329926,80,37
-0.807959974,502,17.14999962,130,35
-1.509260058,420,16.13330078,110,33
-1.716549993,582,16.41670036,187,32
-0.418000013,485,17.48329926,187,31
-1.974910021,763,16.41670036,290,30
0,830,17.33329964,38,29
-1.105720043,697,16.29999924,52,28
-1.780979991,608,15.7166996,155,27
-1.184350014,402,17.26670074,96,26
-2.241940022,602,15.36670017,267,25
-0.749430001,819,16.5333004,86,24
-1.65388,714,16.23329926,118,23
-2.250180006,610,16.20000076,292,22
-2.147840023,575,16.54999924,244,21
-0.905439973,622,16.66670036,89,20
-1.300310016,551,16.76670074,112,19
-2.288789988,536,14.98330021,158,18
-1.856999993,376,17.06669998,123,17
-2.199579954,574,16.29999924,184,16
-1.201679945,572,16.95000076,171,15
-1.372640014,418,17.64999962,247,14
-2.235029936,821,15.58329964,87,13
-1.307690024,763,15.81669998,51,12
-1.539600015,717,16.16670036,122,11
-1.995820046,578,16,74,10
NA,535,16.9666996,111,9
NA,712,17.39999962,162,8
NA,845,17.38330078,119,7
NA,591,16.5,119,6
NA,744,16.79999924,38,5
NA,563,16.2833004,171,4
NA,452,16.98329926,115,3
NA,808,17.10000038,59,2
NA,443,NA,82,1
NA,NA,NA,NA,NA
NA,430,15.38329983,180,36
NA,440,15.64999962,140,34
